SymbolIndex,SampleIndexAfterDelayRemoval,SampleTime_s,SampledVoltage_V,InstantFastCode_dec,InstantFastVout_V,VectorFastCode_dec,VectorFastVout_V
68,8775,1.224041546875e-09,0.235528297636232,114,0.234375,114,0.234375
69,8903,1.241898546875e-09,-0.230806851348559,14,-0.234375,14,-0.234375
70,9031,1.259755546875e-09,0.0879590999125158,82,0.084375,82,0.084375
71,9159,1.277612546875e-09,-0.231912468582777,14,-0.234375,14,-0.234375
72,9287,1.295469546875e-09,0.0812402272914728,81,0.0796875,81,0.0796875
73,9415,1.313326546875e-09,-0.252342818782247,10,-0.253125,10,-0.253125
74,9543,1.331183546875e-09,-0.203452749252604,20,-0.20625,20,-0.20625
75,9671,1.349040546875e-09,0.226615217738261,112,0.225,112,0.225
76,9799,1.366897546875e-09,-0.0875749763205109,45,-0.0890625,45,-0.0890625
77,9927,1.384754546875e-09,0.0963718679165476,84,0.09375,84,0.09375
78,10055,1.402611546875e-09,-0.0839254416936055,46,-0.084375,46,-0.084375
79,10183,1.420468546875e-09,-0.0756775092325581,47,-0.0796875,47,-0.0796875
80,10311,1.438325546875e-09,-0.24810319152894,11,-0.2484375,11,-0.2484375
81,10439,1.456182546875e-09,-0.236511897412495,13,-0.2390625,13,-0.2390625
82,10567,1.474039546875e-09,-0.226699931649745,15,-0.2296875,15,-0.2296875
83,10695,1.491896546875e-09,0.0971563981411889,84,0.09375,84,0.09375
84,10823,1.509753546875e-09,0.213183513496691,109,0.2109375,109,0.2109375
85,10951,1.527610546875e-09,-0.0701826413863735,49,-0.0703125,49,-0.0703125
86,11079,1.545467546875e-09,-0.0817201002838553,46,-0.084375,46,-0.084375
87,11207,1.563324546875e-09,-0.203387558044671,20,-0.20625,20,-0.20625
88,11335,1.581181546875e-09,0.206992207284629,108,0.20625,108,0.20625
89,11463,1.599038546875e-09,-0.0899400738560565,44,-0.09375,44,-0.09375
90,11591,1.616895546875e-09,-0.0816003502866248,46,-0.084375,46,-0.084375
91,11719,1.634752546875e-09,-0.219156303328048,17,-0.2203125,17,-0.2203125
92,11847,1.652609546875e-09,0.0795166362845898,80,0.075,80,0.075
93,11975,1.670466546875e-09,0.231435334816454,113,0.2296875,113,0.2296875
94,12103,1.688323546875e-09,0.207662268058066,108,0.20625,108,0.20625
95,12231,1.706180546875e-09,0.0891772312877472,83,0.0890625,83,0.0890625
96,12359,1.724037546875e-09,-0.0863287771231697,45,-0.0890625,45,-0.0890625
97,12487,1.741894546875e-09,0.0808291402706677,81,0.0796875,81,0.0796875
98,12615,1.759751546875e-09,-0.0955735789185116,43,-0.0984375,43,-0.0984375
99,12743,1.777608546875e-09,0.0686988410949251,78,0.065625,78,0.065625
100,12871,1.795465546875e-09,-0.072033604462641,48,-0.075,48,-0.075
101,12999,1.813322546875e-09,0.239796320884032,115,0.2390625,115,0.2390625
102,13127,1.831179546875e-09,0.228031467965955,112,0.225,112,0.225
103,13255,1.849036546875e-09,-0.0860600970676487,45,-0.0890625,45,-0.0890625
104,13383,1.866893546875e-09,-0.0740721008423096,48,-0.075,48,-0.075
105,13511,1.884750546875e-09,0.0746135274921173,79,0.0703125,79,0.0703125
106,13639,1.902607546875e-09,-0.239341763642317,12,-0.24375,12,-0.24375
107,13767,1.920464546875e-09,-0.22637226442577,15,-0.2296875,15,-0.2296875
108,13895,1.938321546875e-09,-0.24086068380825,12,-0.24375,12,-0.24375
109,14023,1.956178546875e-09,-0.23001522734538,14,-0.234375,14,-0.234375
110,14151,1.974035546875e-09,-0.0725902857271081,48,-0.075,48,-0.075
111,14279,1.991892546875e-09,0.092404147453483,83,0.0890625,83,0.0890625
112,14407,2.009749546875e-09,0.0697831403710785,78,0.065625,78,0.065625
113,14535,2.027606546875e-09,0.109257860313543,87,0.1078125,87,0.1078125
114,14663,2.045463546875e-09,0.208406354715007,108,0.20625,108,0.20625
115,14791,2.063320546875e-09,-0.0679562014823445,49,-0.0703125,49,-0.0703125
116,14919,2.081177546875e-09,0.0569107428823674,76,0.05625,76,0.05625
117,15047,2.099034546875e-09,-0.243795611894689,11,-0.2484375,11,-0.2484375
118,15175,2.116891546875e-09,-0.225403244207576,15,-0.2296875,15,-0.2296875
119,15303,2.134748546875e-09,-0.0784989054183752,47,-0.0796875,47,-0.0796875
120,15431,2.152605546875e-09,0.0814442384028897,81,0.0796875,81,0.0796875
121,15559,2.170462546875e-09,0.217922738949836,110,0.215625,110,0.215625
122,15687,2.188319546875e-09,-0.22763104044577,15,-0.2296875,15,-0.2296875
123,15815,2.206176546875e-09,-0.0501518839196129,53,-0.0515625,53,-0.0515625
124,15943,2.224033546875e-09,0.207254179139383,108,0.20625,108,0.20625
125,16071,2.241890546875e-09,-0.0909020816999822,44,-0.09375,44,-0.09375
126,16199,2.259747546875e-09,-0.0589969602457246,51,-0.0609375,51,-0.0609375
127,16327,2.277604546875e-09,0.0712952665213483,79,0.0703125,79,0.0703125
128,16455,2.295461546875e-09,-0.0838053215252401,46,-0.084375,46,-0.084375
129,16583,2.313318546875e-09,0.0793859870108275,80,0.075,80,0.075
130,16711,2.331175546875e-09,0.0838371882240251,81,0.0796875,81,0.0796875
131,16839,2.349032546875e-09,0.0737059436283525,79,0.0703125,79,0.0703125
132,16967,2.366889546875e-09,0.0825900741965568,81,0.0796875,81,0.0796875
133,17095,2.384746546875e-09,0.209662630223609,108,0.20625,108,0.20625
134,17223,2.402603546875e-09,-0.228208814940449,15,-0.2296875,15,-0.2296875
135,17351,2.420460546875e-09,0.0875894273750618,82,0.084375,82,0.084375
136,17479,2.438317546875e-09,0.221804800682475,111,0.2203125,111,0.2203125
137,17607,2.456174546875e-09,-0.250488877561665,10,-0.253125,10,-0.253125
138,17735,2.474031546875e-09,-0.218553922819671,17,-0.2203125,17,-0.2203125
139,17863,2.491888546875e-09,0.230159687329025,113,0.2296875,113,0.2296875
